ที่,รหัสสายทาง,อำเภอ,ชื่อสายทาง,ระยะทางรวม (กม.),ปีงบประมาณ 2561,,,ปีงบประมาณ 2562,,,ปีงบประมาณ 2563,,,,,,,,
,,,,,ข้อบัญญ้ติประจำปี (กม.),เงินอุดหนุน (กม.),"เงินสะสม , บำรุงซ่อมแซม (กม.)",ข้อบัญญ้ติประจำปี (กม.),เงินอุดหนุน (กม.),"เงินสะสม , บำรุงซ่อมแซม (กม.)",ข้อบัญญ้ติประจำปี (กม.),เงินอุดหนุน (กม.),"เงินสะสม , บำรุงซ่อมแซม (กม.)",สามารถใช้การได้ (กม.),ต้องได้รับการซ่อมแซม (กม.),ค่าพิกัดจุดเริ่มต้นสายทาง,ด่วพิกัดจุดสิ้นสุดสายทาง,ลิงค์ google map,
1,อบจ.นม.01201,เมือง,บ.บุ - บ.ลองตอง,7.291,  3.230 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  5.876 ,  1.029 ,  -   ,  -   ,"15.040465,102.148680","15.040990,102.206416",คลิกที่นี้,
2,อบจ.นม.01102,เมือง,ทล.หมายเลข 304 - บ.โนนไม้แดง,3.411,  3.140 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.271 ,  -   ,"14.947337,102.053670","14.938000,102.028472",คลิกที่นี้,
3,อบจ.นม.01203,เมือง,บ.หนองตะคอง - บ.หนองม่วง,10.814,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.530 ,  -   ,  -   ,  10.284 ,  -   ,"14.948361,102.126343","14.935408,102.198476",คลิกที่นี้,
4,อบจ.นม.01204,เมือง,บ.โคกไผ่น้อย - บ.นาตม,5.936,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  3.380 ,  -   ,  -   ,  -   ,  2.556 ,"15.022462,102.103231","14.998462,102.066125",คลิกที่นี้,
5,อบจ.นม.01205,เมือง,บ.หนองพลวงใหญ่ - บ.หนองบัวศาลา,7.833,  -   ,  -   ,  0.700 ,  -   ,  -   ,  -   ,  0.380 ,  -   ,  0.451 ,  -   ,  6.302 ,"14.825338,102.158881","14.906350,102.095802",คลิกที่นี้,
6,อบจ.นม.01206,เมือง,บ.ใหม่ - บ.หนองเป็ดน้ำ,3.675,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  3.675 ,  -   ,"14.960904,102.025101","14.946479,101.995438",คลิกที่นี้,
7,อบจ.นม.01207,เมือง,บ.โพธิ์เตี้ย - พลกรัง,3.992,  -   ,  -   ,  0.175 ,  -   ,  -   ,  -   ,  1.220 ,  -   ,  -   ,  -   ,  2.597 ,"15.015681,102.009021","14.996795,102.038467",คลิกที่นี้,
8,อบจ.นม.01208,เมือง,บ.ตะคองเก่า - บ.หนองกระทุ่ม,4.139,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  4.139 ,  -   ,"14.997898,102.055741","15.005359,102.076064",คลิกที่นี้,
9,อบจ.นม.01209,เมือง,บ.พะเนาว์ - บ.โตนด,3.784,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  2.464 ,  -   ,  -   ,  -   ,  1.320 ,"14.989295,102.193243","14.962389,102.208323",คลิกที่นี้,
10,อบจ.นม.01210,เมือง,บ.นากลาง - บ.โป่งแมลงวัน,5.000,  -   ,  -   ,  0.175 ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.300 ,  -   ,  4.525 ,"14.891882,101.914328","14.886038,101.953652",คลิกที่นี้,
11,อบจ.นม.01211,เมือง,บ.หนองไทร - บ.โกรกเดือนห้า,4.600,  -   ,  -   ,  0.175 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  4.425 ,  -   ,"14.842470,102.062470","14.850238,102.021947",คลิกที่นี้,
12,อบจ.นม.01312,เมือง,บ.วัดเลียบ - บ.พุดซา,6.890,  -   ,  -   ,  0.700 ,  -   ,  -   ,  -   ,  1.855 ,  -   ,  -   ,  -   ,  4.335 ,"14.977283,102.051609","15.028929,102.044162",คลิกที่นี้,
13,อบจ.นม.01313,เมือง,บ.หนองออก - บ.หัวสระ,3.000,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.290 ,  -   ,  -   ,  -   ,  2.710 ,"15.041608,102.099745","15.057350,102.106772",คลิกที่นี้,
14,อบจ.นม.01314,เมือง,บ.ขี้ตุ่น - บ.หนองสมอ,4.273,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  4.273 ,  -   ,"14.914717,102.192445","14.899488,102.225561",คลิกที่นี้,
15,อบจ.นม.01315,เมือง,บ.โคกกรวด - บ.หนองนมนาง,5.339,  -   ,  -   ,  0.145 ,  -   ,  -   ,  0.235 ,  1.400 ,  -   ,  -   ,  -   ,  3.559 ,"14.928310,101.953780","14.898997,101.985149",คลิกที่นี้,
